POINTID,SiteId,Lat,Long,FeatureTyp,Barrier,Reason,FishPass,LngCo,LngSD,LngCH,Lng_25Co,Lng_75Co,Lng_25CH,Lng_75CH,Lng_25SD,Lng_75SD,Lng_50Co,Lng_50CH,Lng_50SD
1126,601806,46.843408,-123.044373,Culvert,Yes,Debris,0,0,0,0,709.804886,0,0,0,0,0,0,0,0
1122,601441,46.845393,-123.046799,Culvert,Yes,Depth,33,196.796056,0,0,906.600942,0,0,0,0,0,0,0,0
1076,601442,46.885296,-123.021106,Culvert,Yes,WS Drop,33,2211.268357,0,0,3713.15666,0,1629.830737,0,0,0,2211.268357,0,0
1283,700165,46.729488,-123.21226,Culvert,Yes,Undersized,33,205.615351,0,0,822.461404,0,0,0,0,0,205.615351,0,0
1505,601812,46.62288,-122.93439,Culvert,Yes,Depth,33,8832.70939,4338.2234,0,11532.64645,5599.955534,4734.888438,0,6771.503928,1759.900653,8631.138489,0,4338.2234
1292,601813,46.72776,-122.92089,Culvert,Yes,Depth,67,819.845496,0,0,4304.089908,0,0,0,412.28385,0,599.613817,0,0
1044,601492,46.927843,-122.870938,Culvert,Yes,Velocity,67,0,0,0,0,0,0,0,0,0,0,0,0
1042,601491,46.927992,-122.87324,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
1035,601948,46.932642,-122.912885,Culvert,Yes,Slope,33,0,0,0,658.868001,0,0,0,0,0,0,0,0
1036,601949,46.93428,-122.911138,Culvert,Yes,Velocity,67,2266.479911,309.169572,502.24598,3890.729952,0,1274.551612,0,888.398796,0,2266.479911,502.24598,309.169572
1298,601834,46.7255356,-122.8982018,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,601835,46.71608,-122.96648,Culvert,Yes,WS Drop,67,7616.468454,4223.463645,389.64967,16050.30793,3591.436247,3380.751189,0,4846.418665,3591.436247,7396.236775,389.64967,4223.463645
1060,132171218,46.9027009,-122.9824587,Culvert,Yes,Undersized,67,0,0,0,840.15128,0,0,0,0,0,0,0,0
1414,132171281,46.642692,-123.3166358,Culvert,Yes,WS Drop,0,0,0,0,209.61033,0,0,0,0,0,0,0,0
1254,132171004,46.7534518,-122.9694741,Culvert,Yes,Debris,67,0,0,0,379.615494,0,0,0,0,0,0,0,0
1173,700171,46.79592,-123.07305,Culvert,Yes,Undersized,33,0,0,0,195.563237,0,0,0,0,0,0,0,0
1350,601860,46.69611,-123.01711,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,601854,46.71547,-122.99506,Culvert,Yes,Slope,33,11900.2485,5318.545674,999.145815,18311.90003,6875.004238,3984.61636,0,6875.004238,2382.737578,11900.2485,999.145815,5318.545674
1315,601991,46.714947,-122.677625,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
